Dataset,Model,Radius,Bits,Tokenizer,Sketch,Mode,Accuracy,MCC
Syntemp_cluster_2,xgb,1,512,wl,parity,delta,0.543403177527055,0.37128823854534804
USPTO_50k_balanced,xgb,1,512,wl,parity,delta,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,1,512,wl,parity,delta,0.904225,0.9023036961877658
USPTO_50k_unbalanced,xgb,1,512,wl,parity,delta,0.30287884846061575,0.0
schneider50k_balanced,xgb,1,512,wl,parity,delta,0.8741652284835296,0.8718969342897087
Syntemp_cluster_0,xgb,1,512,wl,parity,delta,0.9120828538550058,0.9061805287419664
Syntemp_cluster_1,xgb,1,512,wl,parity,delta,0.7739930955120828,0.7689364295480747
Syntemp_cluster_2,xgb,1,512,wl,parity,union,0.5516923785401796,0.3832154841963671
USPTO_50k_balanced,xgb,1,512,wl,parity,union,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,1,512,wl,parity,union,0.830475,0.8271011355057716
USPTO_50k_unbalanced,xgb,1,512,wl,parity,union,0.30287884846061575,0.0
schneider50k_balanced,xgb,1,512,wl,parity,union,0.8460018508791676,0.8429487226251435
Syntemp_cluster_0,xgb,1,512,wl,parity,union,0.8485615650172612,0.8384645732509128
Syntemp_cluster_1,xgb,1,512,wl,parity,union,0.7037974683544304,0.6966604215660642
Syntemp_cluster_2,xgb,1,512,wl,minhash,delta,0.5477780336173153,0.3812992822080812
USPTO_50k_balanced,xgb,1,512,wl,minhash,delta,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,1,512,wl,minhash,delta,0.803675,0.7997098584723737
USPTO_50k_unbalanced,xgb,1,512,wl,minhash,delta,0.30287884846061575,0.0
schneider50k_balanced,xgb,1,512,wl,minhash,delta,0.8151622020459718,0.8115046515678406
Syntemp_cluster_0,xgb,1,512,wl,minhash,delta,0.8768699654775605,0.8684993309565799
Syntemp_cluster_1,xgb,1,512,wl,minhash,delta,0.7850402761795167,0.7802534214894663
Syntemp_cluster_2,xgb,1,512,wl,minhash,union,0.492746949113516,0.2730139888717253
USPTO_50k_balanced,xgb,1,512,wl,minhash,union,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,1,512,wl,minhash,union,0.64285,0.6356721516616075
USPTO_50k_unbalanced,xgb,1,512,wl,minhash,union,0.30287884846061575,0.0
schneider50k_balanced,xgb,1,512,wl,minhash,union,0.691828618593832,0.6856235282118744
Syntemp_cluster_0,xgb,1,512,wl,minhash,union,0.713463751438435,0.6942848162550525
Syntemp_cluster_1,xgb,1,512,wl,minhash,union,0.6025316455696202,0.5923495641174856
Syntemp_cluster_2,xgb,1,512,wl,cw,delta,0.497582316371172,0.2827998765678125
USPTO_50k_balanced,xgb,1,512,wl,cw,delta,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,1,512,wl,cw,delta,0.24455,0.2296833478781668
USPTO_50k_unbalanced,xgb,1,512,wl,cw,delta,0.30287884846061575,0.0
schneider50k_balanced,xgb,1,512,wl,cw,delta,0.502413646482079,0.4925913593804201
Syntemp_cluster_0,xgb,1,512,wl,cw,delta,0.4994246260069045,0.4596601307812825
Syntemp_cluster_1,xgb,1,512,wl,cw,delta,0.45132336018411967,0.43461972707566277
Syntemp_cluster_2,xgb,1,512,wl,cw,union,0.4305779415150817,0.0
USPTO_50k_balanced,xgb,1,512,wl,cw,union,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,1,512,wl,cw,union,0.053725,0.03463583719873947
USPTO_50k_unbalanced,xgb,1,512,wl,cw,union,0.30287884846061575,0.0
schneider50k_balanced,xgb,1,512,wl,cw,union,0.05935319276656412,0.04035292776143982
Syntemp_cluster_0,xgb,1,512,wl,cw,union,0.17376294591484465,0.010578211175761758
Syntemp_cluster_1,xgb,1,512,wl,cw,union,0.09827387802071347,0.033796246646485825
Syntemp_cluster_2,xgb,1,512,path,parity,delta,0.5203776191572645,0.32298369784724706
USPTO_50k_balanced,xgb,1,512,path,parity,delta,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,1,512,path,parity,delta,0.915325,0.9136361659571194
USPTO_50k_unbalanced,xgb,1,512,path,parity,delta,0.30287884846061575,0.0
schneider50k_balanced,xgb,1,512,path,parity,delta,0.8546809734623947,0.8521408764687758
Syntemp_cluster_0,xgb,1,512,path,parity,delta,0.9035673187571922,0.8969320135923485
Syntemp_cluster_1,xgb,1,512,path,parity,delta,0.7420023014959723,0.7359995593518653
Syntemp_cluster_2,xgb,1,512,path,parity,union,0.5148514851485149,0.3115381989762544
USPTO_50k_balanced,xgb,1,512,path,parity,union,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,1,512,path,parity,union,0.786975,0.7827731648657966
USPTO_50k_unbalanced,xgb,1,512,path,parity,union,0.30287884846061575,0.0
schneider50k_balanced,xgb,1,512,path,parity,union,0.8060828893724519,0.8023204862995622
Syntemp_cluster_0,xgb,1,512,path,parity,union,0.7792865362485616,0.7646341200263591
Syntemp_cluster_1,xgb,1,512,path,parity,union,0.6349827387802072,0.6256849276099193
Syntemp_cluster_2,xgb,1,512,path,minhash,delta,0.5178448077365876,0.32476761632848783
USPTO_50k_balanced,xgb,1,512,path,minhash,delta,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,1,512,path,minhash,delta,0.846875,0.8437926793381774
USPTO_50k_unbalanced,xgb,1,512,path,minhash,delta,0.30287884846061575,0.0
schneider50k_balanced,xgb,1,512,path,minhash,delta,0.8209399464745755,0.8174497577012267
Syntemp_cluster_0,xgb,1,512,path,minhash,delta,0.8968929804372843,0.8898655668705039
Syntemp_cluster_1,xgb,1,512,path,minhash,delta,0.7613348676639816,0.7558534114881522
Syntemp_cluster_2,xgb,1,512,path,minhash,union,0.475938291503569,0.22992949995195566
USPTO_50k_balanced,xgb,1,512,path,minhash,union,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,1,512,path,minhash,union,0.65515,0.648290917079421
USPTO_50k_unbalanced,xgb,1,512,path,minhash,union,0.30287884846061575,0.0
schneider50k_balanced,xgb,1,512,path,minhash,union,0.676196193191766,0.6697139936776642
Syntemp_cluster_0,xgb,1,512,path,minhash,union,0.666283084004603,0.6440317658100245
Syntemp_cluster_1,xgb,1,512,path,minhash,union,0.5703107019562715,0.5588547915521016
Syntemp_cluster_2,xgb,1,512,path,cw,delta,0.47156343541330875,0.22133436192574282
USPTO_50k_balanced,xgb,1,512,path,cw,delta,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,1,512,path,cw,delta,0.34435,0.3315293676558402
USPTO_50k_unbalanced,xgb,1,512,path,cw,delta,0.30287884846061575,0.0
schneider50k_balanced,xgb,1,512,path,cw,delta,0.4410595032640504,0.4340100057863966
Syntemp_cluster_0,xgb,1,512,path,cw,delta,0.4589182968929804,0.41296331799366753
Syntemp_cluster_1,xgb,1,512,path,cw,delta,0.3970080552359033,0.3797262683560117
Syntemp_cluster_2,xgb,1,512,path,cw,union,0.4305779415150817,0.0
USPTO_50k_balanced,xgb,1,512,path,cw,union,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,1,512,path,cw,union,0.0488,0.029592073324162336
USPTO_50k_unbalanced,xgb,1,512,path,cw,union,0.30287884846061575,0.0
schneider50k_balanced,xgb,1,512,path,cw,union,0.05505114929591556,0.03597611132176349
Syntemp_cluster_0,xgb,1,512,path,cw,union,0.1802071346375144,0.027247086557753927
Syntemp_cluster_1,xgb,1,512,path,cw,union,0.09597238204833142,0.03003335528210639
Syntemp_cluster_2,xgb,1,512,morgan,parity,delta,0.5567580013815335,0.3949454980139242
USPTO_50k_balanced,xgb,1,512,morgan,parity,delta,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,1,512,morgan,parity,delta,0.8988,0.8967873931239337
USPTO_50k_unbalanced,xgb,1,512,morgan,parity,delta,0.30287884846061575,0.0
schneider50k_balanced,xgb,1,512,morgan,parity,delta,0.87991796103149,0.8776993152893624
Syntemp_cluster_0,xgb,1,512,morgan,parity,delta,0.9217491369390104,0.9163426270723934
Syntemp_cluster_1,xgb,1,512,morgan,parity,delta,0.7726121979286537,0.7672861707267832
Syntemp_cluster_2,xgb,1,512,morgan,parity,union,0.5486990559521069,0.37978074264297135
USPTO_50k_balanced,xgb,1,512,morgan,parity,union,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,1,512,morgan,parity,union,0.829775,0.8263707573427199
USPTO_50k_unbalanced,xgb,1,512,morgan,parity,union,0.30287884846061575,0.0
schneider50k_balanced,xgb,1,512,morgan,parity,union,0.8328956254220755,0.8295744996200548
Syntemp_cluster_0,xgb,1,512,morgan,parity,union,0.8313003452243959,0.82098286344701
Syntemp_cluster_1,xgb,1,512,morgan,parity,union,0.6863060989643268,0.6785696947683901
Syntemp_cluster_2,xgb,1,512,morgan,minhash,delta,0.5516923785401796,0.3897789425643346
USPTO_50k_balanced,xgb,1,512,morgan,minhash,delta,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,1,512,morgan,minhash,delta,0.80945,0.8056215373842865
USPTO_50k_unbalanced,xgb,1,512,morgan,minhash,delta,0.30287884846061575,0.0
schneider50k_balanced,xgb,1,512,morgan,minhash,delta,0.8079087566594132,0.8041011016773607
Syntemp_cluster_0,xgb,1,512,morgan,minhash,delta,0.875258918296893,0.8671262232908484
Syntemp_cluster_1,xgb,1,512,morgan,minhash,delta,0.777445339470656,0.772272811505697
Syntemp_cluster_2,xgb,1,512,morgan,minhash,union,0.4846880036840893,0.253730696923186
USPTO_50k_balanced,xgb,1,512,morgan,minhash,union,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,1,512,morgan,minhash,union,0.656025,0.6491218211605023
USPTO_50k_unbalanced,xgb,1,512,morgan,minhash,union,0.30287884846061575,0.0
schneider50k_balanced,xgb,1,512,morgan,minhash,union,0.6905780245616668,0.6843332393676242
Syntemp_cluster_0,xgb,1,512,morgan,minhash,union,0.698964326812428,0.6788817170821019
Syntemp_cluster_1,xgb,1,512,morgan,minhash,union,0.6009205983889528,0.5907566983547055
Syntemp_cluster_2,xgb,1,512,morgan,cw,delta,0.4925166935298181,0.273639113704018
USPTO_50k_balanced,xgb,1,512,morgan,cw,delta,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,1,512,morgan,cw,delta,0.24585,0.23081431991646745
USPTO_50k_unbalanced,xgb,1,512,morgan,cw,delta,0.30287884846061575,0.0
schneider50k_balanced,xgb,1,512,morgan,cw,delta,0.5149696105650183,0.505711716799338
Syntemp_cluster_0,xgb,1,512,morgan,cw,delta,0.5385500575373993,0.4996098689231518
Syntemp_cluster_1,xgb,1,512,morgan,cw,delta,0.4743383199079402,0.45842721622535804
Syntemp_cluster_2,xgb,1,512,morgan,cw,union,0.4305779415150817,0.0
USPTO_50k_balanced,xgb,1,512,morgan,cw,union,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,1,512,morgan,cw,union,0.04815,0.028872281992872877
USPTO_50k_unbalanced,xgb,1,512,morgan,cw,union,0.30287884846061575,0.0
schneider50k_balanced,xgb,1,512,morgan,cw,union,0.05662689777644381,0.037538987535027386
Syntemp_cluster_0,xgb,1,512,morgan,cw,union,0.17675489067894132,0.021420448505904
Syntemp_cluster_1,xgb,1,512,morgan,cw,union,0.09643268124280782,0.030041626552342094
Syntemp_cluster_2,xgb,2,1024,wl,parity,delta,0.5475477780336173,0.38133228452447343
USPTO_50k_balanced,xgb,2,1024,wl,parity,delta,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,2,1024,wl,parity,delta,0.898,0.8959657913628223
USPTO_50k_unbalanced,xgb,2,1024,wl,parity,delta,0.30287884846061575,0.0
schneider50k_balanced,xgb,2,1024,wl,parity,delta,0.8878467271954178,0.8857383877036907
Syntemp_cluster_0,xgb,2,1024,wl,parity,delta,0.8982738780207135,0.8912744865784566
Syntemp_cluster_1,xgb,2,1024,wl,parity,delta,0.7624856156501726,0.7572138612846817
Syntemp_cluster_2,xgb,2,1024,wl,parity,union,0.5491595671195026,0.3810553653466652
USPTO_50k_balanced,xgb,2,1024,wl,parity,union,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,2,1024,wl,parity,union,0.81255,0.8088225850845039
USPTO_50k_unbalanced,xgb,2,1024,wl,parity,union,0.30287884846061575,0.0
schneider50k_balanced,xgb,2,1024,wl,parity,union,0.8379980490733098,0.8347568940991847
Syntemp_cluster_0,xgb,2,1024,wl,parity,union,0.8204833141542003,0.8093332907698395
Syntemp_cluster_1,xgb,2,1024,wl,parity,union,0.6922899884925201,0.6850434455891526
Syntemp_cluster_2,xgb,2,1024,wl,minhash,delta,0.541100621690076,0.3740501859525186
USPTO_50k_balanced,xgb,2,1024,wl,minhash,delta,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,2,1024,wl,minhash,delta,0.786775,0.7824655499995463
USPTO_50k_unbalanced,xgb,2,1024,wl,minhash,delta,0.30287884846061575,0.0
schneider50k_balanced,xgb,2,1024,wl,minhash,delta,0.7989044796278232,0.7948601699729421
Syntemp_cluster_0,xgb,2,1024,wl,minhash,delta,0.8386651323360184,0.8276532955442075
Syntemp_cluster_1,xgb,2,1024,wl,minhash,delta,0.7270425776754891,0.7209081957132728
Syntemp_cluster_2,xgb,2,1024,wl,minhash,union,0.49574027170158874,0.2775062088934973
USPTO_50k_balanced,xgb,2,1024,wl,minhash,union,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,2,1024,wl,minhash,union,0.66135,0.6545068815799708
USPTO_50k_unbalanced,xgb,2,1024,wl,minhash,union,0.30287884846061575,0.0
schneider50k_balanced,xgb,2,1024,wl,minhash,union,0.7008829193867087,0.6948388689011571
Syntemp_cluster_0,xgb,2,1024,wl,minhash,union,0.7074798619102417,0.6875058484636816
Syntemp_cluster_1,xgb,2,1024,wl,minhash,union,0.5631760644418873,0.5524082924128259
Syntemp_cluster_2,xgb,2,1024,wl,cw,delta,0.4384066313608105,0.09712324971493472
USPTO_50k_balanced,xgb,2,1024,wl,cw,delta,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,2,1024,wl,cw,delta,0.138675,0.12138896620713428
USPTO_50k_unbalanced,xgb,2,1024,wl,cw,delta,0.30287884846061575,0.0
schneider50k_balanced,xgb,2,1024,wl,cw,delta,0.2742802831344889,0.26014254585988206
Syntemp_cluster_0,xgb,2,1024,wl,cw,delta,0.28055235903337167,0.18996350497222025
Syntemp_cluster_1,xgb,2,1024,wl,cw,delta,0.22876869965477561,0.196381082905771
Syntemp_cluster_2,xgb,2,1024,wl,cw,union,0.4305779415150817,0.0
USPTO_50k_balanced,xgb,2,1024,wl,cw,union,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,2,1024,wl,cw,union,0.05135,0.032098331036651565
USPTO_50k_unbalanced,xgb,2,1024,wl,cw,union,0.30287884846061575,0.0
schneider50k_balanced,xgb,2,1024,wl,cw,union,0.05292513944123459,0.03372816019063131
Syntemp_cluster_0,xgb,2,1024,wl,cw,union,0.17468354430379746,0.013778224641409879
Syntemp_cluster_1,xgb,2,1024,wl,cw,union,0.09919447640966628,0.034655684935715456
Syntemp_cluster_2,xgb,2,1024,path,parity,delta,0.5572185125489293,0.39629105812593696
USPTO_50k_balanced,xgb,2,1024,path,parity,delta,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,2,1024,path,parity,delta,0.921325,0.9197601197177279
USPTO_50k_unbalanced,xgb,2,1024,path,parity,delta,0.30287884846061575,0.0
schneider50k_balanced,xgb,2,1024,path,parity,delta,0.8899227132888122,0.887896060158325
Syntemp_cluster_0,xgb,2,1024,path,parity,delta,0.8975834292289988,0.8905664944862373
Syntemp_cluster_1,xgb,2,1024,path,parity,delta,0.7760644418872267,0.7708109963564833
Syntemp_cluster_2,xgb,2,1024,path,parity,union,0.5293575869214828,0.34437615015174167
USPTO_50k_balanced,xgb,2,1024,path,parity,union,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,2,1024,path,parity,union,0.836225,0.8329705658440838
USPTO_50k_unbalanced,xgb,2,1024,path,parity,union,0.30287884846061575,0.0
schneider50k_balanced,xgb,2,1024,path,parity,union,0.8401240589279908,0.8369614081298632
Syntemp_cluster_0,xgb,2,1024,path,parity,union,0.7912543153049482,0.7781024462410399
Syntemp_cluster_1,xgb,2,1024,path,parity,union,0.6939010356731876,0.6868863461125879
Syntemp_cluster_2,xgb,2,1024,path,minhash,delta,0.5760994704121575,0.429737854800214
USPTO_50k_balanced,xgb,2,1024,path,minhash,delta,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,2,1024,path,minhash,delta,0.854375,0.8514372138814732
USPTO_50k_unbalanced,xgb,2,1024,path,minhash,delta,0.30287884846061575,0.0
schneider50k_balanced,xgb,2,1024,path,minhash,delta,0.8363972887121383,0.8331666022382461
Syntemp_cluster_0,xgb,2,1024,path,minhash,delta,0.85385500575374,0.8443438787783862
Syntemp_cluster_1,xgb,2,1024,path,minhash,delta,0.788722669735328,0.7847309489875866
Syntemp_cluster_2,xgb,2,1024,path,minhash,union,0.5116279069767442,0.31198825851418893
USPTO_50k_balanced,xgb,2,1024,path,minhash,union,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,2,1024,path,minhash,union,0.7027,0.6967132698500311
USPTO_50k_unbalanced,xgb,2,1024,path,minhash,union,0.30287884846061575,0.0
schneider50k_balanced,xgb,2,1024,path,minhash,union,0.7314474375328281,0.7260228669306847
Syntemp_cluster_0,xgb,2,1024,path,minhash,union,0.6915995397008056,0.6717304846620304
Syntemp_cluster_1,xgb,2,1024,path,minhash,union,0.6094361334867664,0.5997189994325809
Syntemp_cluster_2,xgb,2,1024,path,cw,delta,0.47962238084273545,0.2436615052385138
USPTO_50k_balanced,xgb,2,1024,path,cw,delta,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,2,1024,path,cw,delta,0.269025,0.2548591548521838
USPTO_50k_unbalanced,xgb,2,1024,path,cw,delta,0.30287884846061575,0.0
schneider50k_balanced,xgb,2,1024,path,cw,delta,0.4839548785673195,0.474145724291252
Syntemp_cluster_0,xgb,2,1024,path,cw,delta,0.4527042577675489,0.4001932477168711
Syntemp_cluster_1,xgb,2,1024,path,cw,delta,0.46490218642117376,0.4501766963048751
Syntemp_cluster_2,xgb,2,1024,path,cw,union,0.4305779415150817,0.0
USPTO_50k_balanced,xgb,2,1024,path,cw,union,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,2,1024,path,cw,union,0.047475,0.028149741387800426
USPTO_50k_unbalanced,xgb,2,1024,path,cw,union,0.30287884846061575,0.0
schneider50k_balanced,xgb,2,1024,path,cw,union,0.053900602786323505,0.034731969834325374
Syntemp_cluster_0,xgb,2,1024,path,cw,union,0.17376294591484465,0.01072246458011028
Syntemp_cluster_1,xgb,2,1024,path,cw,union,0.09620253164556962,0.02964541715441469
Syntemp_cluster_2,xgb,2,1024,morgan,parity,delta,0.545935988947732,0.3768175292442443
USPTO_50k_balanced,xgb,2,1024,morgan,parity,delta,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,2,1024,morgan,parity,delta,0.8916,0.8894310353700738
USPTO_50k_unbalanced,xgb,2,1024,morgan,parity,delta,0.30287884846061575,0.0
schneider50k_balanced,xgb,2,1024,morgan,parity,delta,0.8868712638503289,0.8847749884246292
Syntemp_cluster_0,xgb,2,1024,morgan,parity,delta,0.9063291139240506,0.8999017609371144
Syntemp_cluster_1,xgb,2,1024,morgan,parity,delta,0.7661680092059839,0.7616930440342733
Syntemp_cluster_2,xgb,2,1024,morgan,parity,union,0.5420216440248676,0.36986971982704975
USPTO_50k_balanced,xgb,2,1024,morgan,parity,union,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,2,1024,morgan,parity,union,0.820725,0.8171589427785607
USPTO_50k_unbalanced,xgb,2,1024,morgan,parity,union,0.30287884846061575,0.0
schneider50k_balanced,xgb,2,1024,morgan,parity,union,0.8367724669217879,0.8335022561849906
Syntemp_cluster_0,xgb,2,1024,morgan,parity,union,0.8237054085155351,0.8122923673179183
Syntemp_cluster_1,xgb,2,1024,morgan,parity,union,0.6881472957422324,0.6809437766833332
Syntemp_cluster_2,xgb,2,1024,morgan,minhash,delta,0.538567810269399,0.3711253362233848
USPTO_50k_balanced,xgb,2,1024,morgan,minhash,delta,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,2,1024,morgan,minhash,delta,0.7958,0.7916621167692566
USPTO_50k_unbalanced,xgb,2,1024,morgan,minhash,delta,0.30287884846061575,0.0
schneider50k_balanced,xgb,2,1024,morgan,minhash,delta,0.7995798004051925,0.7955490228008791
Syntemp_cluster_0,xgb,2,1024,morgan,minhash,delta,0.8460299194476409,0.8355202460788193
Syntemp_cluster_1,xgb,2,1024,morgan,minhash,delta,0.733716915995397,0.7282265537907764
Syntemp_cluster_2,xgb,2,1024,morgan,minhash,union,0.48491825926778725,0.2549387674769953
USPTO_50k_balanced,xgb,2,1024,morgan,minhash,union,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,2,1024,morgan,minhash,union,0.6401,0.6328160353112285
USPTO_50k_unbalanced,xgb,2,1024,morgan,minhash,union,0.30287884846061575,0.0
schneider50k_balanced,xgb,2,1024,morgan,minhash,union,0.6938045571646532,0.687598277029672
Syntemp_cluster_0,xgb,2,1024,morgan,minhash,union,0.704487917146145,0.6842097000265546
Syntemp_cluster_1,xgb,2,1024,morgan,minhash,union,0.5861910241657077,0.5756213608652735
Syntemp_cluster_2,xgb,2,1024,morgan,cw,delta,0.4439327653695602,0.12386635875288757
USPTO_50k_balanced,xgb,2,1024,morgan,cw,delta,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,2,1024,morgan,cw,delta,0.1279,0.11033239582326294
USPTO_50k_unbalanced,xgb,2,1024,morgan,cw,delta,0.30287884846061575,0.0
